wave,gender,age,age_of_partner,race,partner_race,samerace,importance_same_race,importance_same_religion,attractiveness_rating_by_partner,sincerity_rating_by_partner,intelligence_rating_by_partner,humor_rating_by_partner,ambition_rating_by_partner,self_attractiveness_rating,self_sincerity_rating,self_intelligence_rating,self_humor_rating,self_ambition_rating,partner_attractiveness_rating,partner_sincerity_rating,partner_intelligence_rating,partner_humor_rating,partner_ambition_rating,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,like,match
22,female,24,24,Black/African American,Other,TRUE,7,10,1,8,3,4,3,7,5,9,6,6,6,3,8,1,10,9,8,5,6,11,11,3,1,8,3,7,1,11,1,11,11,2,9,TRUE
22,male,37,37,Other,European/Caucasian-American,TRUE,10,4,9,10,7,7,6,1,5,5,7,8,2,2,6,7,7,11,10,11,6,6,5,10,10,2,6,2,4,3,10,5,5,8,7,FALSE
22,female,46,45,Asian/Pacific Islander/Asian-American,Other,FALSE,7,2,10,4,7,6,7,6,9,10,7,8,10,6,3,8,9,2,10,6,6,6,3,5,1,11,3,5,2,10,9,10,9,7,5,FALSE
22,female,32,33,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,FALSE,2,9,8,9,5,8,7,7,10,7,5,8,5,10,1,5,1,11,6,1,5,11,8,6,2,5,4,8,6,2,1,5,5,2,9,FALSE
22,male,28,29,Other,Latino/Hispanic American,TRUE,7,6,5,10,3,4,6,6,3,3,5,5,8,6,3,6,3,2,11,3,11,1,7,8,3,2,5,9,5,3,9,6,10,4,1,FALSE
22,female,25,24,Asian/Pacific Islander/Asian-American,European/Caucasian-American,TRUE,2,11,10,4,7,9,9,10,2,4,4,10,4,4,6,3,6,6,5,7,1,3,4,4,2,3,6,5,9,2,6,6,9,5,3,TRUE
22,female,46,45,Asian/Pacific Islander/Asian-American,European/Caucasian-American,TRUE,2,10,6,8,5,10,1,2,10,10,4,6,5,1,4,5,4,3,4,7,4,3,1,1,8,8,6,2,3,8,10,7,8,9,2,TRUE
22,male,38,38,Asian/Pacific Islander/Asian-American,Other,TRUE,6,3,10,6,6,8,9,9,8,9,5,5,9,5,1,3,10,2,11,10,10,8,3,9,6,5,1,4,5,1,11,8,1,10,7,TRUE
22,female,24,23,European/Caucasian-American,Asian/Pacific Islander/Asian-American,FALSE,6,2,10,5,3,5,9,3,7,10,10,4,2,1,6,2,10,8,6,1,1,6,11,3,1,4,8,11,10,5,7,4,3,2,9,FALSE
22,female,43,44,Other,European/Caucasian-American,FALSE,8,6,8,4,6,6,4,6,9,1,9,4,2,8,1,7,1,7,11,9,5,2,8,8,6,5,3,5,7,1,4,9,5,7,2,TRUE
22,female,36,35,Asian/Pacific Islander/Asian-American,Black/African American,TRUE,5,10,6,5,7,5,5,6,3,5,6,4,6,2,8,10,9,8,3,1,4,1,2,4,1,8,4,6,9,5,9,3,3,5,6,TRUE
22,female,40,40,Other,Latino/Hispanic American,TRUE,5,6,10,1,8,6,3,8,6,8,8,4,6,9,3,7,7,6,2,7,8,4,9,11,9,10,8,6,3,3,6,5,10,2,2,FALSE
22,female,28,28,Latino/Hispanic American,Black/African American,TRUE,10,9,4,7,2,1,7,4,5,10,9,6,3,9,3,8,7,9,1,2,1,1,4,3,3,7,5,1,4,9,6,3,1,10,3,TRUE
22,male,28,28,Latino/Hispanic American,Latino/Hispanic American,FALSE,1,5,3,8,2,4,2,6,5,7,4,6,9,3,1,1,1,9,9,9,8,5,7,3,1,6,6,6,1,1,10,2,11,3,1,FALSE
22,male,41,41,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,FALSE,4,11,7,9,6,9,8,1,10,4,7,5,1,6,3,2,9,2,1,9,8,11,10,4,1,2,1,11,2,10,6,11,2,5,6,TRUE
22,female,38,38,Other,European/Caucasian-American,TRUE,1,9,2,3,8,4,9,9,8,7,5,9,3,9,7,2,8,10,11,9,1,8,7,4,2,10,8,10,3,1,4,5,2,10,2,FALSE
